task_id	stratum	category	difficulty	budget	verifier_timeout_s	daytona_base
calibforge__contrastive_solver__data-processing_20260508_204815_001	contrastive/nogap	data-processing	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__data-processing_20260509_154924_004	contrastive/nogap	data-processing	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__data-science_20260508_153434_006	contrastive/nogap	data-science	medium	1800.0	600.0	bookworm
calibforge__contrastive_solver__data-science_20260604_144210_004	contrastive/nogap	data-science	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__debugging_20260610_111012_002	contrastive/gap	debugging	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__games_20260503_030115_001	contrastive/nogap	games	medium	1800.0	300.0	ubuntu2404
calibforge__contrastive_solver__machine-learning_20260503_030115_002	contrastive/nogap	machine-learning	medium	1800.0	1800.0	ubuntu2404
calibforge__contrastive_solver__mathematics_20260502_090008_001	contrastive/nogap	mathematics	hard	1800.0	1800.0	ubuntu2404
calibforge__contrastive_solver__mathematics_20260508_045800_003	contrastive/nogap	mathematics	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__mathematics_20260509_111805_003	contrastive/nogap	mathematics	medium	1800.0	900.0	ubuntu2404
calibforge__contrastive_solver__mathematics_20260602_105139_002	contrastive/gap	mathematics	hard	1800.0	1800.0	tb2verifier
calibforge__contrastive_solver__personal-assistant_20260604_194036_001	contrastive/nogap	personal-assistant	hard	1800.0	1200.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260606_153537_006	contrastive/nogap	scientific-computing	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260618_093107_006	contrastive/nogap	scientific-computing	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__security_20260428_101637_006	contrastive/nogap	security	hard	1800.0	900.0	ubuntu2404
calibforge__contrastive_solver__security_20260509_205636_007	contrastive/nogap	security	medium	1800.0	900.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260420_020307_025	contrastive/gap	software-engineering	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260422_235124_015	contrastive/gap	software-engineering	hard	1800.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260501_172213_004	contrastive/nogap	debugging	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260514_011125_004	contrastive/nogap	software-engineering	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260604_002443_016	contrastive/gap	software-engineering	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_144210_014	contrastive/gap	software-engineering	hard	1800.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260611_205750_004	contrastive/gap	software-engineering	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260612_191200_025	contrastive/gap	software-engineering	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260616_094815_025	contrastive/gap	software-engineering	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260617_051646_014	contrastive/nogap	software-engineering	hard	1800.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260617_104707_018	contrastive/gap	software-engineering	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260604_194036_005	contrastive/nogap	system-administration	medium	1800.0	1800.0	tb2verifier
calibforge__multi_solver__data-science_20260413_173854_008	multi/nogap	data-science	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__data-science_20260414_211453_003	multi/nogap	data-science	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__machine-learning_20260414_211453_002	multi/nogap	machine-learning	medium	1800.0	300.0	ubuntu2404
calibforge__multi_solver__mathematics_20260414_091921_001	multi/nogap	mathematics	medium	1800.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260414_080620_012	multi/nogap	software-engineering	medium	1800.0	180.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260414_080620_014	multi/gap	software-engineering	hard	1800.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260415_094424_008	multi/gap	software-engineering	medium	1800.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260417_112147_004	multi/gap	software-engineering	medium	1800.0	600.0	bookworm
calibforge__multi_solver__software-engineering_20260417_112147_018	multi/gap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260604_003814_022	contrastive/gap	software-engineering	hard	1200.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_194036_015	contrastive/gap	software-engineering	hard	1200.0	300.0	tb2verifier
calibforge__multi_solver__system-administration_20260414_211453_008	multi/nogap	system-administration	medium	1200.0	900.0	ubuntu2404
calibforge__contrastive_solver__data-processing_20260607_104421_001	contrastive/nogap	data-processing	medium	900.0	600.0	tb2verifier
calibforge__contrastive_solver__data-querying_20260610_111012_001	contrastive/nogap	data-querying	hard	900.0	300.0	tb2verifier
calibforge__contrastive_solver__data-science_20260604_144210_005	contrastive/nogap	data-science	medium	900.0	600.0	tb2verifier
calibforge__contrastive_solver__debugging_20260528_174918_004	contrastive/gap	debugging	medium	900.0	360.0	ubuntu2404
calibforge__contrastive_solver__debugging_20260604_144210_005	contrastive/gap	debugging	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__debugging_20260617_051646_003	contrastive/gap	debugging	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260510_142854_001	contrastive/nogap	file-operations	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__file-operations_20260614_141608_002	contrastive/nogap	file-operations	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__games_20260617_104707_001	contrastive/gap	games	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__model-training_20260508_161717_002	contrastive/nogap	model-training	medium	900.0	900.0	bookworm
calibforge__contrastive_solver__model-training_20260613_152233_002	contrastive/gap	model-training	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260604_194036_001	contrastive/nogap	scientific-computing	medium	900.0	600.0	tb2verifier
calibforge__contrastive_solver__security_20260428_101637_007	contrastive/nogap	security	hard	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__security_20260601_053159_001	contrastive/nogap	security	medium	900.0	600.0	tb2verifier
calibforge__contrastive_solver__security_20260602_105139_006	contrastive/gap	security	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260420_020307_010	contrastive/gap	software-engineering	hard	900.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260429_103257_010	contrastive/nogap	security	hard	900.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260501_000112_005	contrastive/gap	software-engineering	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260507_172207_012	contrastive/nogap	software-engineering	medium	900.0	900.0	bookworm
calibforge__contrastive_solver__software-engineering_20260507_173144_012	contrastive/nogap	software-engineering	medium	900.0	600.0	bookworm
calibforge__contrastive_solver__software-engineering_20260508_180627_010	contrastive/gap	software-engineering	hard	900.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260510_062946_019	contrastive/gap	software-engineering	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260604_004411_007	contrastive/gap	software-engineering	medium	900.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_004411_016	contrastive/gap	software-engineering	hard	900.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260606_153537_017	contrastive/gap	software-engineering	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260606_172606_005	contrastive/gap	software-engineering	medium	900.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260610_111012_019	contrastive/gap	software-engineering	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260616_094815_005	contrastive/nogap	software-engineering	hard	900.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260617_051646_011	contrastive/gap	software-engineering	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260508_180627_003	contrastive/nogap	system-administration	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260603_181444_006	contrastive/nogap	system-administration	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260611_210349_002	contrastive/nogap	system-administration	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260617_051646_008	contrastive/nogap	system-administration	medium	900.0	300.0	tb2verifier
calibforge__multi_solver__data-processing_20260416_172928_004	multi/nogap	data-processing	medium	900.0	900.0	ubuntu2404
calibforge__multi_solver__debugging_20260415_094424_003	multi/nogap	debugging	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__file-operations_20260415_182321_002	multi/nogap	file-operations	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__model-training_20260415_123352_003	multi/nogap	model-training	medium	900.0	900.0	ubuntu2404
calibforge__multi_solver__scientific-computing_20260418_044216_007	multi/nogap	scientific-computing	medium	900.0	900.0	ubuntu2404
calibforge__multi_solver__scientific-computing_20260419_065313_007	multi/nogap	scientific-computing	medium	900.0	900.0	ubuntu2404
calibforge__multi_solver__security_20260415_123352_005	multi/nogap	security	medium	900.0	900.0	ubuntu2404
calibforge__multi_solver__security_20260415_123352_008	multi/gap	security	medium	900.0	900.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260414_211453_018	multi/gap	debugging	medium	900.0	900.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260416_031414_018	multi/gap	software-engineering	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__system-administration_20260419_023954_008	multi/nogap	system-administration	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__data-processing_20260604_002443_002	contrastive/nogap	data-processing	hard	600.0	300.0	tb2verifier
calibforge__contrastive_solver__data-science_20260604_003814_001	contrastive/nogap	data-science	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__debugging_20260513_204848_004	contrastive/gap	debugging	medium	600.0	300.0	ubuntu2404
calibforge__contrastive_solver__debugging_20260606_172622_005	contrastive/nogap	debugging	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260601_053159_005	contrastive/nogap	file-operations	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260604_003113_005	contrastive/nogap	file-operations	medium	600.0	600.0	bookworm
calibforge__contrastive_solver__file-operations_20260604_004411_001	contrastive/nogap	file-operations	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260601_053159_005	contrastive/nogap	scientific-computing	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260615_143301_005	contrastive/nogap	scientific-computing	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_003113_013	contrastive/gap	software-engineering	medium	600.0	120.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_193056_003	contrastive/gap	software-engineering	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260611_210349_001	contrastive/gap	software-engineering	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260613_152233_025	contrastive/gap	software-engineering	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260509_065529_008	contrastive/gap	system-administration	medium	600.0	300.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260509_065529_009	contrastive/gap	system-administration	medium	600.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260416_020953_023	multi/nogap	software-engineering	medium	600.0	600.0	ubuntu2404
